date,ride_total,alight_total
2023-08-01,6941531,6906761
2023-08-02,6900912,6869641
2023-08-03,6937235,6905027
2023-08-04,6973855,6933847
2023-08-05,4782280,4752123
2023-08-06,3643087,3618959
2023-08-07,6802128,6773675
2023-08-08,7077597,7046377
2023-08-09,7163158,7132168
2023-08-10,5763080,5740220
2023-08-11,6980181,6953133
2023-08-12,5124243,5096085
2023-08-13,4007537,3986143
2023-08-14,6584229,6557030
2023-08-15,4238557,4214128
2023-08-16,7296330,7267767
2023-08-17,7381897,7351835
2023-08-18,7624989,7592177
2023-08-19,5429121,5403488
2023-08-20,4012904,3989181
2023-08-21,7129083,7102110
2023-08-22,7200765,7171736
2023-08-23,7023465,6995221
2023-08-24,7365584,7335455
2023-08-25,7817759,7786201
2023-08-26,5705793,5671351
2023-08-27,4205679,4181624
2023-08-28,7159494,7132436
2023-08-29,7180443,7151778
2023-08-30,7551115,7520866
2023-08-31,7615163,7584954
2023-09-01,8012445,7979258
2023-09-02,5935820,5903355
2023-09-03,4152775,4129136
2023-09-04,7604233,7576823
2023-09-05,7790027,7758927
2023-09-06,7846536,7815754
2023-09-07,7915128,7883539
2023-09-08,8168700,8132768
2023-09-09,6056831,6023680
2023-09-10,4360978,4336181
2023-09-11,7648636,7623261
2023-09-12,7848499,7818734
2023-09-13,7760717,7731793
2023-09-14,7933039,7904140
2023-09-15,7916547,7885727
2023-09-16,5758070,5726910
2023-09-17,4255358,4233069
2023-09-18,7655439,7627076
2023-09-19,7857698,7825943
2023-09-20,7620426,7590233
2023-09-21,7977751,7946997
2023-09-22,8287697,8255599
2023-09-23,6100258,6069133
2023-09-24,4393158,4370942
2023-09-25,7771598,7746833
2023-09-26,7837932,7807652
2023-09-27,7780632,7745174
2023-09-28,3405793,3383624
2023-09-29,2829610,2811427
2023-09-30,3444652,3425481
2023-10-01,4047599,4024123
2023-10-02,4586801,4562335
2023-10-03,4074151,4053659
2023-10-04,7574809,7547197
2023-10-05,7823718,7792419
2023-10-06,8152284,8122056
2023-10-07,6361882,6334109
2023-10-08,4694930,4667070
2023-10-09,4459734,4434846
2023-10-10,7858043,7830049
2023-10-11,7960138,7931831
2023-10-12,8010586,7979917
2023-10-13,8347989,8315275
2023-10-14,5759317,5728938
2023-10-15,4670826,4643080
2023-10-16,7715346,7688805
2023-10-17,7940939,7907723
2023-10-18,7991051,7959339
2023-10-19,7742435,7710954
2023-10-20,8350748,8315285
2023-10-21,6205194,6171095
2023-10-22,4612952,4585674
2023-10-23,7664791,7637275
2023-10-24,7833688,7804892
2023-10-25,7973800,7945300
2023-10-26,7903968,7872403
2023-10-27,8268649,8235806
2023-10-28,6308458,6275361
2023-10-29,4691268,4661479
2023-10-30,7717495,7690618
2023-10-31,7879628,7852072
2023-11-01,7736850,7709379
2023-11-02,7954249,7923829
2023-11-03,8072914,8040453
2023-11-04,6119051,6086888
2023-11-05,4161971,4137843
2023-11-06,7372828,7347864
2023-11-07,7825741,7797688
2023-11-08,7955453,7926543
2023-11-09,7760780,7732938
2023-11-10,7966964,7936704
2023-11-11,6029376,5997829
2023-11-12,4292936,4266732
2023-11-13,7539491,7512434
2023-11-14,7759960,7730634
2023-11-15,7937108,7907599
2023-11-16,7610027,7582927
2023-11-17,8064669,8034209
2023-11-18,5857967,5829510
2023-11-19,4447588,4423141
2023-11-20,7648491,7621526
2023-11-21,7835357,7806198
2023-11-22,7890678,7863325
2023-11-23,7931593,7903222
2023-11-24,8090116,8058045
2023-11-25,5858596,5824539
2023-11-26,4338914,4311181
2023-11-27,7478415,7453140
2023-11-28,7807163,7779088
2023-11-29,7810869,7780517
2023-11-30,7677722,7646604
2023-12-01,7995079,7962181
2023-12-02,5856330,5827511
2023-12-03,4289284,4264877
2023-12-04,7568442,7541730
2023-12-05,7790130,7762242
2023-12-06,7702215,7674840
2023-12-07,7896458,7867462
2023-12-08,8136435,8105438
2023-12-09,6085969,6056295
2023-12-10,4364342,4338656
2023-12-11,7335764,7310350
2023-12-12,7837889,7809524
2023-12-13,7948465,7918563
2023-12-14,7826491,7795486
2023-12-15,8033092,8001976
2023-12-16,6256374,6223628
2023-12-17,4135871,4110883
2023-12-18,7377532,7343132
2023-12-19,7801151,7761124
2023-12-20,7929600,7893519
2023-12-21,7529981,7492720
2023-12-22,7822083,7783801
2023-12-23,5665356,5636596
2023-12-24,4873265,4849707
2023-12-25,4618406,4597005
2023-12-26,7413885,7384029
2023-12-27,7665234,7634964
2023-12-28,7575555,7542883
2023-12-29,7628726,7595545
2023-12-30,5333230,5305674
2023-12-31,4233753,4214276
2024-01-01,3158549,3137592
2024-01-02,7070219,7041686
2024-01-03,7306669,7276576
2024-01-04,7448523,7417534
2024-01-05,7725780,7694181
2024-01-06,5473810,5444981
2024-01-07,3919153,3897581
2024-01-08,7089925,7061435
2024-01-09,7438620,7409351
2024-01-10,7537559,7507637
2024-01-11,7527168,7496924
2024-01-12,7816241,7784482
2024-01-13,5679978,5651642
2024-01-14,3832954,3811067
2024-01-15,7208287,7181002
2024-01-16,7405695,7375721
2024-01-17,7456706,7427243
2024-01-18,7549265,7516345
2024-01-19,7861537,7825718
2024-01-20,5590780,5557806
2024-01-21,4031579,4008483
2024-01-22,7011537,6985987
2024-01-23,6815173,6788855
2024-01-24,7091645,7064171
2024-01-25,7342201,7313343
2024-01-26,7740456,7711330
2024-01-27,5635588,5606574
2024-01-28,4107574,4081231
2024-01-29,7294018,7263072
2024-01-30,7464687,7432277
2024-01-31,7510858,7478385
2024-02-01,7524674,7492214
2024-02-02,7805326,7773156
2024-02-03,5462614,5433475
2024-02-04,4182402,4158081
2024-02-05,7256657,7225573
