date,temp_avg,temp_max,temp_min
2023-08-01,28.1,32.5,23.9
2023-08-02,27.3,31.0,24.1
2023-08-03,26.7,31.0,22.4
2023-08-04,27.8,32.1,23.5
2023-08-05,27.9,33.6,23.4
2023-08-06,28.2,31.9,24.6
2023-08-07,28.2,32.7,24.4
2023-08-08,28.2,33.7,23.2
2023-08-09,27.0,31.4,24.0
2023-08-10,22.0,24.0,20.5
2023-08-11,22.9,24.5,20.7
2023-08-12,23.8,26.2,22.2
2023-08-13,25.7,29.9,22.0
2023-08-14,26.9,31.3,23.2
2023-08-15,26.7,30.7,23.3
2023-08-16,25.6,29.4,22.2
2023-08-17,26.4,30.6,22.5
2023-08-18,26.9,30.6,23.4
2023-08-19,26.8,31.4,23.6
2023-08-20,26.2,30.3,22.6
2023-08-21,26.9,31.6,23.8
2023-08-22,25.8,29.2,23.8
2023-08-23,24.1,25.1,23.2
2023-08-24,24.3,27.8,22.0
2023-08-25,24.8,27.7,22.2
2023-08-26,24.5,28.5,21.2
2023-08-27,23.9,27.2,20.8
2023-08-28,22.5,24.8,20.9
2023-08-29,23.4,25.1,21.4
2023-08-30,22.2,24.8,20.4
2023-08-31,22.8,27.2,19.5
2023-09-01,22.5,27.8,18.1
2023-09-02,22.9,29.1,18.0
2023-09-03,25.1,29.1,22.0
2023-09-04,24.4,27.7,22.0
2023-09-05,25.8,30.5,23.2
2023-09-06,25.7,30.2,22.0
2023-09-07,23.9,29.6,18.2
2023-09-08,22.4,28.2,16.5
2023-09-09,23.5,29.0,18.8
2023-09-10,23.4,27.6,19.0
2023-09-11,23.7,27.9,21.2
2023-09-12,23.7,28.3,20.2
2023-09-13,21.5,22.9,19.5
2023-09-14,21.9,26.3,17.6
2023-09-15,21.3,23.4,20.1
2023-09-16,22.7,26.3,20.4
2023-09-17,22.8,26.7,20.4
2023-09-18,22.7,26.9,19.7
2023-09-19,22.4,26.5,19.0
2023-09-20,20.6,22.1,19.0
2023-09-21,18.9,22.4,16.2
2023-09-22,18.1,23.8,12.4
2023-09-23,19.8,24.9,14.8
2023-09-24,19.8,24.3,15.4
2023-09-25,19.7,23.0,17.1
2023-09-26,19.7,21.5,18.5
2023-09-27,20.9,23.4,19.6
2023-09-28,21.0,24.7,17.9
2023-09-29,19.1,23.7,15.9
2023-09-30,18.8,21.5,15.6
2023-10-01,16.1,21.3,12.1
2023-10-02,16.4,22.1,11.9
2023-10-03,15.8,20.9,11.8
2023-10-04,16.2,21.5,11.9
2023-10-05,13.1,17.1,9.3
2023-10-06,13.6,19.0,9.1
2023-10-07,14.6,20.8,8.2
2023-10-08,15.7,19.3,12.7
2023-10-09,15.6,19.4,13.1
2023-10-10,14.9,21.3,10.4
2023-10-11,15.2,21.2,11.1
2023-10-12,15.0,22.1,9.5
2023-10-13,16.0,20.0,12.5
2023-10-14,14.4,16.7,10.9
2023-10-15,14.3,19.5,10.8
2023-10-16,12.0,17.1,7.8
2023-10-17,11.8,17.7,7.8
2023-10-18,12.8,19.3,6.8
2023-10-19,15.3,18.4,13.5
2023-10-20,10.8,13.5,6.2
2023-10-21,9.0,15.3,4.0
2023-10-22,10.2,16.6,4.0
2023-10-23,12.7,18.0,7.8
2023-10-24,12.5,17.8,8.2
2023-10-25,13.8,20.0,9.2
2023-10-26,14.3,19.6,10.7
2023-10-27,13.3,17.6,8.9
2023-10-28,12.2,17.4,7.1
2023-10-29,12.1,18.3,6.8
2023-10-30,11.6,18.5,6.5
2023-10-31,12.3,18.4,7.5
2023-11-01,17.0,21.9,14.4
2023-11-02,17.8,23.0,14.5
2023-11-03,16.8,19.3,15.2
2023-11-04,16.4,20.2,13.9
2023-11-05,15.8,19.8,12.6
2023-11-06,13.9,18.9,6.7
2023-11-07,4.5,7.0,2.2
2023-11-08,6.2,12.8,-0.4
2023-11-09,10.4,18.0,4.2
2023-11-10,2.3,6.9,-0.6
2023-11-11,-0.1,4.2,-3.2
2023-11-12,-0.8,3.4,-4.4
2023-11-13,-0.7,4.5,-4.9
2023-11-14,2.6,8.1,-2.7
2023-11-15,4.4,10.7,-1.9
2023-11-16,5.1,7.5,2.5
2023-11-17,0.6,3.9,-3.5
2023-11-18,-1.3,4.0,-4.6
2023-11-19,3.8,12.6,-3.4
2023-11-20,3.0,8.8,-2.3
2023-11-21,3.8,11.3,-1.4
2023-11-22,5.7,12.6,0.0
2023-11-23,8.9,13.0,1.4
2023-11-24,-2.8,0.4,-5.3
2023-11-25,-3.5,0.6,-6.8
2023-11-26,1.6,5.4,-1.7
2023-11-27,5.3,8.7,3.7
2023-11-28,-0.8,3.2,-4.2
2023-11-29,-2.7,0.1,-5.8
2023-11-30,-5.3,-2.1,-7.7
2023-12-01,-4.1,0.6,-7.1
2023-12-02,-0.1,6.3,-5.6
2023-12-03,-1.6,3.3,-5.6
2023-12-04,-0.5,6.8,-4.9
2023-12-05,4.1,9.5,0.8
2023-12-06,4.6,9.4,-0.2
2023-12-07,4.0,10.5,-3.1
2023-12-08,9.1,15.6,3.6
2023-12-09,10.7,15.3,7.4
2023-12-10,7.7,13.9,2.1
2023-12-11,7.8,10.2,3.4
2023-12-12,4.0,7.7,1.3
2023-12-13,4.2,10.0,-1.9
2023-12-14,6.5,7.2,5.4
2023-12-15,4.5,5.3,3.1
2023-12-16,-4.0,2.9,-10.9
2023-12-17,-10.3,-7.0,-12.8
2023-12-18,-7.7,-3.6,-11.0
2023-12-19,-4.3,0.0,-8.1
2023-12-20,-7.6,-3.9,-11.4
2023-12-21,-11.8,-8.1,-14.5
2023-12-22,-12.0,-8.1,-14.9
2023-12-23,-7.9,-2.4,-12.2
2023-12-24,-3.5,1.0,-5.4
2023-12-25,-2.7,1.9,-6.2
2023-12-26,-0.8,6.0,-5.3
2023-12-27,-0.9,5.5,-6.5
2023-12-28,-0.4,4.5,-3.7
2023-12-29,-0.1,4.5,-3.5
2023-12-30,-0.8,1.2,-3.9
2023-12-31,1.4,5.4,-2.4
2024-01-01,0.7,6.7,-3.6
2024-01-02,1.0,4.0,-1.7
2024-01-03,-0.2,3.1,-3.7
